Codes from Files,Meaning,,Indicator,CATEGORIES KEY,Codes & Labels Common Among NSCH Data Files 2016-2022
FIPSST,State FIPS Code,,Maybe write R code to read CODE BOOK PDF to assign indicators to codes to see most relevant indicator categories after model is fit,,
HHID,Unique HH ID,,,1.1 Health status,
FORMTYPE,Form Type,,,1.2 Condition of Teeth,
TOTKIDS_R,Number of Children,yellow,,1.3 Breastfead Ever,
HHLANGUAGE,Primary HH Language,yellow,,1.4 Weight Status,
SC_AGE_YEARS,Age of Selected Child - In Years,yellow,,1.4 Told Child is Overweight,
SC_SEX,Sex of Selected Child,yellow,,1.5 Physical Activity,
K2Q35A_1_YEARS,Autism ASD How Old - Age in Years,,,1.6 Concerns About Weight,
MOMAGE,Age of Mother - Years,yellow,,1.7 Low Birth Weight,
K6Q41R_STILL,Stopped Breastfeeding - Still Breastfeeding,,1.3,1.7a Very Low Birth Weight,
K6Q42R_NEVER,First Fed Formula - Never,,,1.8 Premature Birth***,
K6Q43R_NEVER,First Fed Other - Never,,,1.9 One or More Health Conditions***,
K6Q13A,Talks or Speech Sounds Concerns,,,1.10 One or More functional Difficulties,
K6Q13B,Interaction Concerns,,,1.11 Children With Special Health Care Needs**,
K6Q14A,Words and Phrases Concerns,,,1.12 Effect of Condition on Daily Activities,
K6Q14B,Behaves and Gets Along Concerns,,,Emotional and Mental,
DENTALSERV1,Dental Service - Check-up,,4.2,2.1 Bullies Others (Years 6 - 17),
DENTALSERV2,Dental Service - Cleaning,,4.2,2.2 Bullied (Years 6 - 17) **,
DENTALSERV3,Dental Service - Instructions on Toothbrushing,,4.2,2.3 Flourishing for Young Children ***,
DENTALSERV4,Dental Service - X-Rays,,4.2,,
DENTALSERV5,Dental Service - Fluoride Treatment,,4.2,,
DENTALSERV6,Dental Service - Sealant,,4.2,,
DENTALSERV7,Dental Service - Don't Know,,4.2,,
K4Q28X01,Needed Health Care Not Received - Medical Care,Services,,,
K4Q28X02,Needed Health Care Not Received - Dental Care,Services,,,
K4Q28X03,Needed Health Care Not Received - Vision Care,Services,,,
K4Q28X_EAR,Needed Health Care Not Received - Hearing Care,Services,,,
K4Q28X04,Needed Health Care Not Received - Mental Health Services,Services,,,
K4Q28X05,Needed Health Care Not Received - Other,Services,,"2.10 Mental, Meotional, Developmental, or Behavioral Problems",
SESPLANYR,Special Education Plan - Age in Years,,,,
SESPLANMO,Special Education Plan - Age in Months,,,,
K4Q37,Received Special Services - Age in Years,,,,
SPCSERVMO,Received Special Services - Age in Months,,,,
LIVEUSA_YR,How Long Living in the United States - Years,Residence,,,
LIVEUSA_MO,How Long Living in the United States - Months,Residence,,,
K11Q43R,How Many Times Moved to New Address,Residence,,,
A1_AGE,Adult 1 - Age in Years,,,,
A1_LIVEUSA,Adult 1 - Come to Live in the United States (Year),,,Family Health and Activities,
A2_AGE,Adult 2 - Age in Years,,,6.1,
A2_LIVEUSA,Adult 2 - Come to Live in the United States (Year),,,6.2,
HHCOUNT,Number of People Living at Address,,,6.3,
FAMCOUNT,Number of People That Are Family Members,,,6.4,
BREATHING,Difficulty Breathing,Comorbidity,1.ten,,
SWALLOWING,Difficulty Swallowing,Comorbidity,1.1,,
