variable,folds.not.zero,mean.weight
ADD_ADHD_Yes,0,0
Admitted_to_Hospital_Yes,4,0.0394956592009364
Adult_1___Active_Duty_Never_served_in_the_military,0,0
Adult_1___Active_Duty_Now_on_active_duty,0,0
Adult_1___Active_Duty_Only_on_active_duty_for_training_in_the_Reserves_or_National_Guard,0,0
Adult_1___Age_in_Years,2,-0.000358921663219521
Adult_1___Highest_Completed_Year_of_School_8th_grade_or_less,0,0
Adult_1___Highest_Completed_Year_of_School_9th_12th_grade__No_diploma,0,0
Adult_1___Highest_Completed_Year_of_School_Associate_Degree__AA__AS_,0,0
Adult_1___Highest_Completed_Year_of_School_Bachelors_Degree__BA__BS__AB_,0,0
Adult_1___Highest_Completed_Year_of_School_Completed_a_vocational__trade__or_business_school_program,0,0
Adult_1___Highest_Completed_Year_of_School_High_School_Graduate_or_GED_Completed,0,0
Adult_1___Highest_Completed_Year_of_School_Masters_Degree__MA__MS__MSW__MBA_,4,0.00726050541267465
Adult_1___Highest_Completed_Year_of_School_Some_College_Credit__but_No_Degree,0,0
Adult_1___How_Related_to_Child_Biological_or_Adoptive_Parent,0,0
Adult_1___How_Related_to_Child_Foster_Parent,1,0.0329755896008293
Adult_1___How_Related_to_Child_Grandparent,1,-0.0117384253890635
Adult_1___How_Related_to_Child_Other__Relative,7,0.22057434614455
Adult_1___How_Related_to_Child_Step_parent,0,0
Adult_1___Marital_Status_Divorced,0,0
Adult_1___Marital_Status_Married,0,0
Adult_1___Marital_Status_Never_Married,0,0
Adult_1___Marital_Status_Not_married__but_living_with_a_partner,0,0
Adult_1___Marital_Status_Separated,0,0
Adult_1___Mental_or_Emotional_Health_Excellent,0,0
Adult_1___Mental_or_Emotional_Health_Fair,0,0
Adult_1___Mental_or_Emotional_Health_Good,0,0
Adult_1___Mental_or_Emotional_Health_Very_Good,0,0
Adult_1___Physical_Health_Excellent,0,0
Adult_1___Physical_Health_Fair,0,0
Adult_1___Physical_Health_Good,0,0
Adult_1___Physical_Health_Very_Good,0,0
Adult_1___Sex_Male,6,-0.0128735650277462
Adult_1___Where_Born_In_the_United_States,0,0
Adult_2___How_Related_to_Child_Biological_or_Adoptive_Parent,0,0
Adult_2___How_Related_to_Child_Foster_Parent,0,0
Adult_2___How_Related_to_Child_Grandparent,0,0
Adult_2___How_Related_to_Child_Other__Relative,0,0
Adult_2___How_Related_to_Child_Step_parent,0,0
Adult_2___How_Related_to_Child_There_is_only_one_primary_adult_caregiver_in_the_household_for_this_child,0,0
Age_of_Mother___Years,0,0
Age_of_Selected_Child___In_Years,10,-0.0421141073061824
Age_of_Selected_Child___Less_than_10_Months_LT_10_Months_Old,0,0
Age_of_Selected_Child___Less_than_4_Months_LT_4_Months_Old,0,0
Age_of_Selected_Child___Less_than_6_Months_LT_6_Months_Old,0,0
Age_of_Selected_Child___Less_than_9_Months_LT_9_Months_Old,0,0
Allergies_Yes,0,0
Alternative_Health_Care_Yes,0,0
Anxiety_Yes,10,-0.156107522601193
Anyone_in_Household_Use_Cigarettes_Yes,0,0
Arthritis_Yes,0,0
Asthma_Yes,0,0
BIRTH_YR_Data_Quality_Flag_Child_age__SC_AGE_YEARS__and_birth_year___BIRTH_YR__are_inconsistent,0,0
BIRTH_YR_Data_Quality_Flag_No_data_quality_concerns,0,0
BIRTH_YR_Data_Quality_Flag_Reported_birth_year__BIRTH_YR__is_missing,0,0
Behavior_Problems_Yes,10,-0.764241329430972
Birth_Month,0,0
Birth_Order_of_Selected_Children_in_Household_Oldest_child,0,0
Birth_Order_of_Selected_Children_in_Household_Only_child,0,0
Birth_Order_of_Selected_Children_in_Household_Second_oldest_child,1,0.00497090556638692
Birth_Order_of_Selected_Children_in_Household_Third_oldest_child,0,0
Birth_Weight_Status_Low_birth_weight__less_than_2_500g_,0,0
Birth_Weight_Status_Very_low_birth_weight__less_than_1_500g_,4,0.0447972357105192
Birth_Weight_is_Low___2500g__Yes,5,0.020136823856723
Birth_Weight_is_Very_Low___1500g__Yes,4,0.000439009330340362
Birth_Year,0,0
Blindness_Yes,5,0.0366875508082279
Blood_Disorder_Yes,0,0
Born_3_or_More_Weeks_Before_Due_Date_Yes,0,0
Born_in_the_United_States_Yes,0,0
Cash_Assistance_from_Government___Past_12_Months_Yes,0,0
Cerebral_Palsy_Yes,10,1.35961238273272
Child_Experienced___Adults_Slap__Hit__Kick__Punch_Others_Yes,0,0
Child_Experienced___Lived_with_Mentally_Ill_Yes,0,0
Child_Experienced___Lived_with_Person_with_Alcohol_Drug_Problem_Yes,8,0.0911970059750183
Child_Experienced___Parent_or_Guardian_Died_Yes,0,0
Child_Experienced___Parent_or_Guardian_Divorced_Yes,0,0
Child_Experienced___Parent_or_Guardian_Time_in_Jail_Yes,10,0.158150964815185
Child_Experienced___Treated_Unfairly_Because_of_Race_Yes,0,0
Child_Experienced___Victim_of_Violence_Yes,6,0.030614432917553
Child_is_Safe_In_Neighborhood_Definitely_agree,0,0
Child_is_Safe_In_Neighborhood_Somewhat_agree,0,0
Child_is_Safe_In_Neighborhood_Somewhat_disagree,4,0.0177753387947541
Concerned_About_Weight_Yes__its_too_high,0,0
Concerned_About_Weight_Yes__its_too_low,0,0
Count_of_Children_Ages_0_to_5_in_Household,0,0
Count_of_Children_Ages_12_to_17_in_Household,0,0
Count_of_Children_Ages_6_to_11_in_Household,8,0.0331443122591345
Count_of_Children_with_Special_Health_Care_Needs_in_Household,0,0
Count_of_Children_without_Special_Health_Care_Needs_in_Household,6,0.0239750307288096
