column_name,category
survey_year,
Autism,
State FIPS Code=Alabama,state
State FIPS Code=Alaska,state
State FIPS Code=Arizona,state
State FIPS Code=Arkansas,state
State FIPS Code=California,state
State FIPS Code=Colorado,state
State FIPS Code=Connecticut,state
State FIPS Code=Delaware,state
State FIPS Code=District of Columbia,state
State FIPS Code=Florida,state
State FIPS Code=Georgia,state
State FIPS Code=Hawaii,state
State FIPS Code=Idaho,state
State FIPS Code=Illinois,state
State FIPS Code=Indiana,state
State FIPS Code=Iowa,state
State FIPS Code=Kansas,state
State FIPS Code=Kentucky,state
State FIPS Code=Louisiana,state
State FIPS Code=Maine,state
State FIPS Code=Maryland,state
State FIPS Code=Massachusetts,state
State FIPS Code=Michigan,state
State FIPS Code=Minnesota,state
State FIPS Code=Mississippi,state
State FIPS Code=Missouri,state
State FIPS Code=Montana,state
State FIPS Code=Nebraska,state
State FIPS Code=Nevada,state
State FIPS Code=New Hampshire,state
State FIPS Code=New Jersey,state
State FIPS Code=New Mexico,state
State FIPS Code=New York,state
State FIPS Code=North Carolina,state
State FIPS Code=North Dakota,state
State FIPS Code=Ohio,state
State FIPS Code=Oklahoma,state
State FIPS Code=Oregon,state
State FIPS Code=Pennsylvania,state
State FIPS Code=Rhode Island,state
State FIPS Code=South Carolina,state
State FIPS Code=South Dakota,state
State FIPS Code=Tennessee,state
State FIPS Code=Texas,state
State FIPS Code=Utah,state
State FIPS Code=Vermont,state
State FIPS Code=Virginia,state
State FIPS Code=Washington,state
State FIPS Code=West Virginia,state
State FIPS Code=Wisconsin,state
Unique Household ID,home
Number of Children in Household=1,home
Number of Children in Household=2,home
Number of Children in Household=3,home
The Conditions under Which Land or Buildings Are Held or Occupied=Owned by you or someone in this household with a mortgage or loan? Include home equity loans,wealth
The Conditions under Which Land or Buildings Are Held or Occupied=Owned by you or someone in this household free and clear (without a mortgage or loan)?,wealth
The Conditions under Which Land or Buildings Are Held or Occupied=Rented?,wealth
Primary Household Language=English,culture
Primary Household Language=Spanish,culture
Age of Selected Child - In Years,birth
Sex of Selected Child=Male,birth
Birth Month,birth
Birth Year,birth
Age of Mother - Years,birth
How Many Times Moved to New Address,home
Adult 1 - Age in Years,birth
Number of People Living at Address,home
Number of People That Are Family Members,home
Difficulty Breathing Past 12 Months=Yes,comorbidity
Difficulty Swallowing Past 12 Months=Yes,comorbidity
Difficulty Stomach Past 12 Months=Yes,comorbidity
Difficulty Physical Pain Past 12 Months=Yes,comorbidity
Difficulty Toothaches Past 12 Months=Yes,comorbidity
Difficulty Bleeding Gums Past 12 Months=Yes,comorbidity
Difficulty Cavities Past 12 Months=Yes,comorbidity
Deafness=Yes,comorbidity
Blindness=Yes,comorbidity
Allergies=Yes,comorbidity
Arthritis=Yes,comorbidity
Asthma=Yes,comorbidity
Cerebral Palsy=Yes,comorbidity
Diabetes=Yes,comorbidity
Epilepsy=Yes,comorbidity
Heart Condition=Yes,comorbidity
Headaches=Yes,comorbidity
Tourette Syndrome=Yes,comorbidity
Anxiety=Yes,comorbidity
Depression=Yes,comorbidity
Down Syndrome=Yes,comorbidity
Blood Disorder=Yes,comorbidity
Cystic Fibrosis=Yes,comorbidity
Genetic Condition=Yes,comorbidity
Behavior Problems=Yes,comorbidity
Developmental Delay=Yes,comorbidity
Intellectual Disability=Yes,comorbidity
Speech Disorder=Yes,comorbidity
Learning Disability=Yes,comorbidity
ADD/ADHD=Yes,comorbidity
Born 3 or More Weeks Before Due Date=Yes,birth
Doctor Visit=Yes,healthcare
Doctor Identified as Overweight=Yes,healthcare
Place Usually Goes Sick=Yes,healthcare
Place Usually Goes for Preventive Care=Yes,healthcare
Place Usually Goes for Sick Same As Preventive=Yes,healthcare
Vision Tested=Yes,healthcare
Emotions Concentration Behavior Medication=Yes,healthcare
Alternative Health Care=Yes,healthcare
Needed Health Care Not Received=Yes,healthcare
Admitted to Hospital=Yes,healthcare
Special Education Plan=Yes,healthcare
Received Special Services=Yes,healthcare
Need a Referral=Yes,healthcare
Health Insurance Coverage - Currently Covered (Use CURRINS)=Yes,healthcare
Health Insurance - Current/Former Employer or Union=Yes,healthcare
Health Insurance - Insurance Company=Yes,healthcare
Health Insurance - Government Assistance Plan=Yes,healthcare
Health Insurance - TRICARE=Yes,healthcare
Health Insurance - Indian Health Service=Yes,healthcare
Health Insurance - Other=Yes,healthcare
Past 12 Months - Stopped Working because of Health Status=Yes,healthcare
Past 12 Months -Cut Hours because of Health Conditions=Yes,healthcare
Past 12 Months - Avoided Changing Jobs to Maintain Health Insurance=Yes,healthcare
Born in the United States=Yes,birth
Someone to Turn To for Emotional Support=Yes,home
Anyone in Household Use Cigarettes=Yes,home
Cash Assistance from Government - Past 12 Months=Yes,wealth
Food Stamps - Past 12 Months=Yes,wealth
Free or Reduced Cost Meals - Past 12 Months=Yes,wealth
WIC Benefits - Past 12 Months=Yes,wealth
Neighborhood - Sidewalks or Walking Paths=Yes,home
Neighborhood - Park or Playground=Yes,home
Neighborhood - Recreation Center=Yes,home
Neighborhood - Library or Bookmobile=Yes,home
Neighborhood - Litter or Garbage=Yes,home
Neighborhood - Poorly Kept or Rundown Housing=Yes,home
Neighborhood - Vandalism=Yes,home
Child Experienced - Parent or Guardian Divorced=Yes,home
Child Experienced - Parent or Guardian Died=Yes,home
Child Experienced - Parent or Guardian Time in Jail=Yes,home
"Child Experienced - Adults Slap, Hit, Kick, Punch Others=Yes",home
Child Experienced - Victim of Violence=Yes,home
Child Experienced - Lived with Mentally Ill=Yes,home
Child Experienced - Lived with Person with Alcohol/Drug Problem=Yes,home
Child Experienced - Treated Unfairly Because of Race=Yes,home
General Health=Excellent,healthcare
General Health=Very Good,healthcare
General Health=Good,healthcare
General Health=Fair,healthcare
Teeth Description=This child does not have any teeth [T1 only],healthcare
Teeth Description=Excellent,healthcare
Teeth Description=Very Good,healthcare
Teeth Description=Good,healthcare
Teeth Description=Fair,healthcare
Show Interest and Curiosity=Always,behavior
Show Interest and Curiosity=Usually,behavior
Show Interest and Curiosity=Sometimes,behavior
Health Insurance - Benefits Cover Services=Always,healthcare
Health Insurance - Benefits Cover Services=Usually,healthcare
Health Insurance - Benefits Cover Services=Sometimes,healthcare
Health Insurance - Allow to See Provider=Always,healthcare
Health Insurance - Allow to See Provider=Usually,healthcare
Health Insurance - Allow to See Provider=Sometimes,healthcare
Facing Problems - How Often Talk Together=All of the time,behavior
Facing Problems - How Often Talk Together=Most of the time,behavior
Facing Problems - How Often Talk Together=Some of the time,behavior
Facing Problems - How Often Work Together=All of the time,behavior
Facing Problems - How Often Work Together=Most of the time,behavior
Facing Problems - How Often Work Together=Some of the time,behavior
Facing Problems - How Often Draw on Strengths=All of the time,behavior
Facing Problems - How Often Draw on Strengths=Most of the time,behavior
Facing Problems - How Often Draw on Strengths=Some of the time,behavior
Facing Problems - How Often Stay Hopeful=All of the time,behavior
